feature,rf_rank,xgb_rank,mi_rank,f_rank,chi2_rank,combined_rank,rf_score,xgb_score,mi_score,f_score,chi2_score
age,1,1,1,1,1,1.0,0.09037611502161517,0.037482392,0.0,15.769637007269514,1.0058960735774258
trestbps,2,2,2,2,2,2.0,0.08046141984785943,0.035358887,0.00805983020899026,7.0066322767065135,0.532647318519635
chol,3,3,3,3,3,3.0,0.08523123722388531,0.0291556,0.07789685357496534,2.199054444279243,0.11107876013059946
thalach,4,4,4,4,4,4.0,0.125063864230146,0.042228352,0.05794753184482726,63.41922251750832,2.6706375503789954
oldpeak,5,5,5,5,5,5.0,0.10758612600445172,0.033551965,0.07870697526298365,66.16670679090825,11.382669293586147
sex_1.0,6,6,6,6,6,6.0,0.04574517568254348,0.05577673,0.07196984268325912,24.978872025759728,7.432845483026321
cp_2.0,7,7,7,7,7,7.0,0.017451801643782353,0.062021036,0.0,19.84193954593145,15.646366906474817
cp_3.0,8,8,8,8,8,8.0,0.024457867206628774,0.028702335,0.08136317392409698,33.18966720455994,21.55110851761019
cp_4.0,9,9,9,9,9,9.0,0.09321903727755916,0.14255579,0.11783416280179115,109.4900905794737,42.41009661782769
fbs_1.0,10,10,10,10,10,10.0,0.012595542417311067,0.016257854,0.004967771918912067,0.19223680928224887,0.1646692402175821
restecg_1.0,11,11,11,11,11,11.0,0.0003194394920990846,0.0,0.06524760296170151,1.3820238961006042,1.3665665028952447
restecg_2.0,12,12,12,12,12,12.0,0.02385788765883956,0.029875139,0.03791526673303447,7.948640977027278,3.9878451885821633
exang_1.0,13,13,13,13,13,13.0,0.05706535800823524,0.030114003,0.056606389522493084,69.02089079280229,38.05261289859465
slope_2.0,14,14,14,14,14,14.0,0.037727731512258604,0.06403882,0.07826573446638352,43.60200536440162,20.62415994034042
slope_3.0,15,15,15,15,15,15.0,0.004018005184799464,0.0,0.04411700089050541,1.1506275293795005,1.0738914095204666
ca_1.0,16,16,16,16,16,16.0,0.038691823766242764,0.09093789,0.03441704671234591,16.630444923874446,12.461166601428054
ca_2.0,17,17,17,17,17,17.0,0.018627635838395173,0.038469706,0.0764909863271308,23.92131422442747,19.509795116410082
ca_3.0,18,18,18,18,18,18.0,0.014103440437281187,0.0,0.017987218603257915,13.712017390659025,12.330323302333742
thal_6.0,19,19,19,19,19,19.0,0.008996881292125954,0.0,0.031056462720765454,3.3467148752034483,3.133970872082821
thal_7.0,20,20,20,20,20,20.0,0.11440361025394048,0.26347354,0.0973508397754721,90.39651858367698,42.958359766220795
