Model,Method,F1_Improvement_%,Accuracy_Improvement_%
Logistic Regression,GridSearchCV,0.5747126436781602,0.0
Logistic Regression,RandomizedSearchCV,0.5747126436781602,0.0
Decision Tree,GridSearchCV,0.0,0.0
Decision Tree,RandomizedSearchCV,-0.9433962264150941,2.0408163265306145
Random Forest,GridSearchCV,2.086049543676661,1.8181818181818201
Random Forest,RandomizedSearchCV,-3.846153846153854,-3.6363636363636402
SVM,GridSearchCV,2.4844720496894417,1.9230769230769253
SVM,RandomizedSearchCV,2.4844720496894417,1.9230769230769253
Gradient Boosting,GridSearchCV,-7.69230769230769,-5.66037735849056
Gradient Boosting,RandomizedSearchCV,-2.8340080971660004,-1.8867924528301907
KNN,GridSearchCV,0.0,0.0
KNN,RandomizedSearchCV,3.571428571428567,3.9215686274509713
