Model,Method,CV_Score,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Training_Time
Logistic Regression,Baseline,0.7602891156462585,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9437229437229437,0.16580748558044434
Decision Tree,Baseline,0.6866496598639455,0.8032786885245902,0.75,0.8571428571428571,0.8,0.8073593073593074,0.09736776351928711
Random Forest,Baseline,0.7437925170068027,0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9431818181818181,2.1660003662109375
SVM,Baseline,0.7481292517006802,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.922077922077922,0.16164159774780273
Gradient Boosting,Baseline,0.7312925170068028,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9199134199134199,1.6660797595977783
KNN,Baseline,0.7647108843537415,0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.9242424242424242,0.08571124076843262
Logistic Regression,GridSearchCV,0.7810374149659863,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9502164502164502,21.114486932754517
Decision Tree,GridSearchCV,0.7276360544217686,0.8032786885245902,0.75,0.8571428571428571,0.8,0.8739177489177489,3.068995714187622
Random Forest,GridSearchCV,0.7645408163265307,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9491341991341992,123.39714336395264
SVM,GridSearchCV,0.7768707482993197,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9318181818181819,2.263949155807495
Gradient Boosting,GridSearchCV,0.7479591836734694,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.9047619047619049,32.00200319290161
KNN,GridSearchCV,0.7812925170068028,0.8360655737704918,0.8,0.8571428571428571,0.8275862068965517,0.928030303030303,0.2539503574371338
Logistic Regression,RandomizedSearchCV,0.772704081632653,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9458874458874458,0.8846325874328613
Decision Tree,RandomizedSearchCV,0.7561224489795919,0.819672131147541,0.84,0.75,0.7924528301886793,0.8993506493506493,1.10628080368042
Random Forest,RandomizedSearchCV,0.7811224489795918,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9491341991341992,67.70669341087341
SVM,RandomizedSearchCV,0.7768707482993198,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9307359307359307,8.958291053771973
Gradient Boosting,RandomizedSearchCV,0.7561224489795919,0.8524590163934426,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.9285714285714285,82.51740527153015
KNN,RandomizedSearchCV,0.7852891156462585,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9323593073593074,0.924511194229126
